Número do processo,Turma,Seção,Data da sessão,Data da publicação,Número da decisão,Decisão,Nome do relator,CNPJ,Razao Social,Nat. Jur.,Qual. Resp.,Capital,Porte,situação cadastral,data início atividade,cnae principal,bairro,cep,uf,municipio,CNAE fiscal - descricao,Classificação,nj_2,nj_3,qr_5,qr_10,qr_12,qr_13,qr_16,qr_17,qr_28,qr_49,qr_50,qr_64,qr_65,"cn_ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL","cn_AGÊNCIAS DE VIAGENS, OPERADORES TURÍSTICOS E SERVIÇOS DE RESERVAS",cn_ALIMENTAÇÃO,cn_ALOJAMENTO,cn_ALUGUÉIS NÃO-IMOBILIÁRIOS E GESTÃO DE ATIVOS INTANGÍVEIS NÃO-FINANCEIROS,cn_ARMAZENAMENTO E ATIVIDADES AUXILIARES DOS TRANSPORTES,"cn_ATIVIDADES ARTÍSTICAS, CRIATIVAS E DE ESPETÁCULOS","cn_ATIVIDADES AUXILIARES DOS SERVIÇOS FINANCEIROS, SEGUROS, PREVIDÊNCIA COMPLEMENTAR E PLANOS DE SAÚDE","cn_ATIVIDADES CINEMATOGRÁFICAS, PRODUÇÃO DE VÍDEOS E DE PROGRAMAS DE TELEVISÃO; GRAVAÇÃO DE SOM E EDIÇÃO DE MÚSICA",cn_ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA,cn_ATIVIDADES DE ORGANIZAÇÕES ASSOCIATIVAS,cn_ATIVIDADES DE PRESTAÇÃO DE SERVIÇOS DE INFORMAÇÃO,cn_ATIVIDADES DE RÁDIO E DE TELEVISÃO,cn_ATIVIDADES DE SEDES DE EMPRESAS E DE CONSULTORIA EM GESTÃO EMPRESARIAL,cn_ATIVIDADES DE SERVIÇOS FINANCEIROS,"cn_ATIVIDADES DE VIGILÂNCIA, SEGURANÇA E INVESTIGAÇÃO",cn_ATIVIDADES DOS SERVIÇOS DE TECNOLOGIA DA INFORMAÇÃO,cn_ATIVIDADES ESPORTIVAS E DE RECREAÇÃO E LAZER,cn_ATIVIDADES IMOBILIÁRIAS,"cn_ATIVIDADES JURÍDICAS, DE CONTABILIDADE E DE AUDITORIA",cn_ATIVIDADES LIGADAS AO PATRIMÔNIO CULTURAL E AMBIENTAL,"cn_CAPTAÇÃO, TRATAMENTO E DISTRIBUIÇÃO DE ÁGUA","cn_COLETA, TRATAMENTO E DISPOSIÇÃO DE RESÍDUOS; RECUPERAÇÃO DE MATERIAIS",cn_COMÉRCIO E REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,"cn_COMÉRCIO POR ATACADO, EXCETO VEÍCULOS AUTOMOTORES E MOTOCICLETAS",cn_COMÉRCIO VAREJISTA,cn_CONFECÇÃO DE ARTIGOS DO VESTUÁRIO E ACESSÓRIOS,cn_CONSTRUÇÃO DE EDIFÍCIOS,cn_EDIÇÃO E EDIÇÃO INTEGRADA À IMPRESSÃO,cn_EDUCAÇÃO,"cn_ELETRICIDADE, GÁS E OUTRAS UTILIDADES",cn_ERRO,cn_ESGOTO E ATIVIDADES RELACIONADAS,cn_FABRICAÇÃO DE BEBIDAS,"cn_FABRICAÇÃO DE CELULOSE, PAPEL E PRODUTOS DE PAPEL","cn_FABRICAÇÃO DE COQUE, DE PRODUTOS DERIVADOS DO PETRÓLEO E DE BIOCOMBUSTÍVEIS","cn_FABRICAÇÃO DE EQUIPAMENTOS DE INFORMÁTICA, PRODUTOS ELETRÔNICOS E ÓPTICOS",cn_FABRICAÇÃO DE MÁQUINAS E EQUIPAMENTOS,"cn_FABRICAÇÃO DE MÁQUINAS, APARELHOS E MATERIAIS ELÉTRICOS",cn_FABRICAÇÃO DE MÓVEIS,"cn_FABRICAÇÃO DE OUTROS EQUIPAMENTOS DE TRANSPORTE, EXCETO VEÍCULOS AUTOMOTORES",cn_FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS,cn_FABRICAÇÃO DE PRODUTOS DE BORRACHA E DE MATERIAL PLÁSTICO,cn_FABRICAÇÃO DE PRODUTOS DE MADEIRA,"cn_FABRICAÇÃO DE PRODUTOS DE METAL, EXCETO MÁQUINAS E EQUIPAMENTOS",cn_FABRICAÇÃO DE PRODUTOS DE MINERAIS NÃO-METÁLICOS,cn_FABRICAÇÃO DE PRODUTOS DIVERSOS,cn_FABRICAÇÃO DE PRODUTOS DO FUMO,cn_FABRICAÇÃO DE PRODUTOS FARMOQUÍMICOS E FARMACÊUTICOS,cn_FABRICAÇÃO DE PRODUTOS QUÍMICOS,cn_FABRICAÇÃO DE PRODUTOS TÊXTEIS,"cn_FABRICAÇÃO DE VEÍCULOS AUTOMOTORES, REBOQUES E CARROCERIAS",cn_IMPRESSÃO E REPRODUÇÃO DE GRAVAÇÕES,"cn_MANUTENÇÃO, REPARAÇÃO E INSTALAÇÃO DE MÁQUINAS E EQUIPAMENTOS",cn_METALURGIA,cn_OBRAS DE INFRA-ESTRUTURA,cn_ORGANISMOS INTERNACIONAIS E OUTRAS INSTITUIÇÕES EXTRATERRITORIAIS,cn_OUTRAS ATIVIDADES DE SERVIÇOS PESSOAIS,"cn_OUTRAS ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS",cn_PESQUISA E DESENVOLVIMENTO CIENTÍFICO,"cn_PREPARAÇÃO DE COUROS E FABRICAÇÃO DE ARTEFATOS DE COURO, ARTIGOS PARA VIAGEM E CALÇADOS",cn_PUBLICIDADE E PESQUISA DE MERCADO,cn_REPARAÇÃO E MANUTENÇÃO DE EQUIPAMENTOS DE INFORMÁTICA E COMUNICAÇÃO E DE OBJETOS PESSOAIS E DOMÉSTICOS,"cn_SEGUROS, RESSEGUROS, PREVIDÊNCIA COMPLEMENTAR E PLANOS DE SAÚDE","cn_SELEÇÃO, AGENCIAMENTO E LOCAÇÃO DE MÃO-DE-OBRA",cn_SERVIÇOS DE ARQUITETURA E ENGENHARIA; TESTES E ANÁLISES TÉCNICAS,cn_SERVIÇOS DE ASSISTÊNCIA SOCIAL SEM ALOJAMENTO,"cn_SERVIÇOS DE ESCRITÓRIO, DE APOIO ADMINISTRATIVO E OUTROS SERVIÇOS PRESTADOS PRINCIPALMENTE ÀS EMPRESAS",cn_SERVIÇOS ESPECIALIZADOS PARA CONSTRUÇÃO,cn_SERVIÇOS PARA EDIFÍCIOS E ATIVIDADES PAISAGÍSTICAS,cn_TELECOMUNICAÇÕES,cn_TRANSPORTE AQUAVIÁRIO,cn_TRANSPORTE AÉREO,cn_TRANSPORTE TERRESTRE,cl_negado,cl_parcial,cl_provido,pt_1.0,pt_3.0,pt_5.0
10880.925765/2009-96,Primeira Turma Extraordinária da Primeira Seção,Primeira Seção de Julgamento,08/10/2019,23/10/2019,1001-001.447,"Vistos, relatados e discutidos os presentes autos. Acordam os membros do colegiado, por unanimidade de votos, em rejeitar a preliminar suscitada no recurso e, no mérito, dar provimento parcial ao recurso, para determinar o retorno do processo à Unidade de Origem para que seja ali examinado o mérito em sua íntegra. (assinado digitalmente) Sergio Abelson- Presidente. (assinado digitalmente) José Roberto Adelino da Silva - Relator Participaram da sessão de julgamento os conselheiros: Sergio Abelson (presidente), Andrea Machado Millan, André Severo Chaves e Jose Roberto Adelino da Silva.",JOSE ROBERTO ADELINO DA SILVA,62.484.951/0001-30,DELOITTE TOUCHE TOHMATSU CONSULTORES LTDA.,2240.0,49.0,"0,00",5.0,8.0,19730312.0,7020400.0,CHACARA STO ANTONIO,4719030.0,SP,7107.0,ATIVIDADES DE SEDES DE EMPRESAS E DE CONSULTORIA EM GESTÃO EMPRESARIAL,parcial,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
11020.000358/2005-33,Segunda Turma Ordinária da Terceira Câmara da Primeira Seção,Primeira Seção de Julgamento,19/09/2019,08/10/2019,1302-003.959,"Vistos, relatados e discutidos os presentes autos. Acordam os membros do colegiado, por unanimidade de votos, em negar provimento ao recurso voluntário, nos termos do relatório e voto do relator. (documento assinado digitalmente) Luiz Tadeu Matosinho Machado - Presidente (documento assinado digitalmente) Paulo Henrique Silva Figueiredo - Relator Participaram do presente julgamento os conselheiros Paulo Henrique Silva Figueiredo, Gustavo Guimarães da Fonseca, Wilson Kazumi Nakayama (suplente convocado), Rogério Aparecido Gil, Maria Lúcia Miceli, Flávio Machado Vilhena Dias, Breno do Carmo Moreira Vieira e Luiz Tadeu Matosinho Machado (Presidente). Ausente o conselheiro Ricardo Marozzi Gregório, substituído pelo Conselheiro Wilson Kazumi Nakayama.",PAULO HENRIQUE SILVA FIGUEIREDO,21.014.881/0001-70,SYNCROPARTS COMERCIO E DISTRIBUICAO DE PECAS LTDA,2062.0,5.0,"0,00",5.0,2.0,19791108.0,4530701.0,SAO CRISTOVAO,95059520.0,RS,8599.0,COMÉRCIO E REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,negado,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
16327.720049/2013-62,1ª TURMA/CÂMARA SUPERIOR REC. FISCAIS,Câmara Superior de Recursos Fiscais,12/02/2019,08/04/2019,9101-004.009,"Vistos, relatados e discutidos os presentes autos. Acordam os membros do colegiado, por maioria de votos, em conhecer do art. 24 da LINDB, vencidos os conselheiros André Mendes de Moura, Viviane Vidal Wagner e Adriana Gomes Rêgo, que não conheceram. Acordam, ainda, por unanimidade de votos, quanto ao mérito do art. 24 da LINDB, em negar-lhe provimento. Por unanimidade de votos, acordam em conhecer do Recurso Especial e, no mérito, por maioria de votos, em dar-lhe provimento, vencidos os conselheiros Cristiane Silva Costa (relatora), Luis Fabiano Alves Penteado e Lívia De Carli Germano, que lhe negaram provimento. Designado para redigir o voto vencedor o conselheiro Demetrius Nichele Macei. Manifestou intenção de apresentar declaração de voto quanto à preliminar de conhecimento do Art. 24 da LINDB o conselheiro André Mendes de Moura. (assinado digitalmente) Adriana Gomes Rêgo - Presidente (assinado digitalmente) Cristiane Silva Costa - Relatora (assinado digitalmente) Demetrius Nichele Macei  Redator Designado Participaram da sessão de julgamento os conselheiros: André Mendes de Moura, Cristiane Silva Costa, Rafael Vidal de Araújo, Demetrius Nichele Macei, Viviane Vidal Wagner, Luis Fabiano Alves Penteado, Lívia De Carli Germano e Adriana Gomes Rêgo (Presidente).",CRISTIANE SILVA COSTA,07.207.996/0001-50,BANCO BRADESCO FINANCIAMENTOS S.A.,2054.0,10.0,"7009600215,17",5.0,2.0,19660825.0,6422100.0,VILA YARA,6029900.0,SP,6789.0,ATIVIDADES DE SERVIÇOS FINANCEIROS,provido,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
13839.900382/2009-17,Primeira Turma Ordinária da Quarta Câmara da Primeira Seção,Primeira Seção de Julgamento,15/08/2019,09/09/2019,1401-003.694,"Vistos, relatados e discutidos os presentes autos. Acordam os membros do colegiado, por unanimidade de votos, afastar a preliminar de nulidade da decisão a quo e, no mérito, negar provimento ao recurso voluntário. (documento assinado digitalmente) Luiz Augusto de Souza Gonçalves - Presidente (documento assinado digitalmente) Carlos André Soares Nogueira  Relator Participaram do presente julgamento os Conselheiros: Abel Nunes de Oliveira Neto, Daniel Ribeiro Silva, Cláudio de Andrade Camerano, Luciana Yoshihara Arcangelo Zanin, Carlos André Soares Nogueira (relator), Letícia Domingues Costa Braga, Eduardo Morgado Rodrigues, Luiz Augusto de Souza Gonçalves (presidente).",CARLOS ANDRE SOARES NOGUEIRA,02.044.059/0001-07,OERLIKON BALZERS REVESTIMENTOS METALICOS LTDA.,2062.0,49.0,"31343163,00",5.0,2.0,19970819.0,2539001.0,PQ INDL JUNDIAI,13213084.0,SP,6619.0,"FABRICAÇÃO DE PRODUTOS DE METAL, EXCETO MÁQUINAS E EQUIPAMENTOS",negado,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
13888.905231/2008-81,Primeira Turma Ordinária da Terceira Câmara da Primeira Seção,Primeira Seção de Julgamento,15/10/2019,20/11/2019,1301-004.136,"Vistos, relatados e discutidos os presentes autos. Acordam os membros do Colegiado, por unanimidade de votos, em dar provimento parcial ao recurso para afastar a preclusão do direito de pleitear o pretenso crédito (inexistência de decisão de mérito no processo anterior), mas sem homologar a compensação, e determinar o retorno dos autos à unidade de origem para que analise o mérito do pedido quanto à liquidez e certeza do crédito requerido, oportunizando ao contribuinte, antes, a apresentação de documentos, livros contábeis/fiscais e esclarecimentos. Ao final, deverá ser proferido despacho decisório complementar, e tomando-se, a partir daí, o rito processual de praxe, inclusive quanto à apresentação de nova manifestação de inconformidade em caso de irresignação da contribuinte. (assinado digitalmente) Fernando Brasil de Oliveira Pinto- Presidente. (assinado digitalmente) Nelso Kichel- Relator. Participaram da sessão de julgamento os Conselheiros: Roberto Silva Junior, José Eduardo Dornelas Souza, Nelso Kichel, Rogério Garcia Peres, Giovana Pereira de Paiva Leite, Mauritânia Elvira de Sousa Mendonça, Bianca Felicia Rothschild e Fernando Brasil de Oliveira Pinto (Presidente).",NELSO KICHEL,43.270.628/0001-10,CONFECCOES KACYUMARA LTDA,2062.0,49.0,"4400000,00",5.0,2.0,19710706.0,1351100.0,PARQUE PRIMAVERA,13473620.0,SP,6131.0,FABRICAÇÃO DE PRODUTOS TÊXTEIS,parcial,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
10380.008541/2003-63,Primeira Turma Ordinária da Segunda Câmara da Primeira Seção,Primeira Seção de Julgamento,22/01/2019,25/02/2019,1201-002.702,"Vistos, relatados e discutidos os presentes autos. Acordam os membros do colegiado, em dar provimento ao recurso voluntário para exonerar o crédito tributário lançado, por unanimidade de votos. (assinado digitalmente) Neudson Cavalcante Albuquerque - Presidente em Exercício. (assinado digitalmente) Gisele Barra Bossa - Relatora Participaram da sessão de julgamento os conselheiros: Allan Marcel Warwar Teixeira, Luis Henrique Marotti Toselli, Rafael Gasparello Lima, Lizandro Rodrigues de Sousa (Suplente convocado), Gisele Barra Bossa e Neudson Cavalcante Albuquerque (Presidente em exercício).",GISELE BARRA BOSSA,08.555.864/0001-81,TRACBEL NORDESTE VEICULOS E EQUIPAMENTOS LTDA,2062.0,49.0,"23600000,00",5.0,2.0,19810720.0,4511104.0,JIBOIA,61880000.0,CE,991.0,COMÉRCIO E REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,provido,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
13896.902110/2010-01,1ª TURMA/CÂMARA SUPERIOR REC. FISCAIS,Câmara Superior de Recursos Fiscais,14/02/2019,20/03/2019,9101-004.033,"Vistos, relatados e discutidos os presentes autos. Acordam os membros do colegiado, por unanimidade de votos, em conhecer do Recurso Especial e, no mérito, em negar-lhe provimento. Votaram pelas conclusões os conselheiros Rafael Vidal de Araújo, Viviane Vidal Wagner e Adriana Gomes Rêgo. Manifestou intenção de apresentar declaração de voto a conselheira Viviane Vidal Wagner. (assinado digitalmente) Adriana Gomes Rêgo - Presidente (assinado digitalmente) Luis Fabiano Alves Penteado - Relator Participaram da sessão de julgamento os conselheiros: André Mendes de Moura, Cristiane Silva Costa, Rafael Vidal de Araújo, Demetrius Nichele Macei, Viviane Vidal Wagner, Luis Fabiano Alves Penteado, Lívia De Carli Germano e Adriana Gomes Rêgo (Presidente).",LUIS FABIANO ALVES PENTEADO,34.046.581/0001-14,BANKPAR BRASIL LTDA.,2062.0,5.0,"396448502,00",5.0,8.0,19720607.0,8211300.0,ALPHAVILLE INDUSTRIAL,6454000.0,SP,6213.0,"SERVIÇOS DE ESCRITÓRIO, DE APOIO ADMINISTRATIVO E OUTROS SERVIÇOS PRESTADOS PRINCIPALMENTE ÀS EMPRESAS",provido,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
10675.902499/2011-73,Terceira Turma Extraordinária da Primeira Seção,Primeira Seção de Julgamento,13/03/2019,04/04/2019,1003-000.538,"Vistos, relatados e discutidos os presentes autos. Acordam os membros do colegiado, por unanimidade de votos, em negar provimento ao recurso, nos termos do relatório e votos que integram o presente julgado. (assinado digitalmente) Carmen Ferreira Saraiva  Presidente (assinado digitalmente) Mauritânia Elvira de Sousa Mendonça - Relatora. Participaram da sessão de julgamento os conselheiros: Carmen Ferreira Saraiva (Presidente), Bárbara Santos Guedes e Mauritânia Elvira de Sousa Mendonça. Ausente justificadamente o Conselheiro Wilson Kazumi Nakayama.",MAURITANIA ELVIRA DE SOUSA MENDONCA,02.502.447/0001-94,CRC - CONSTRUTORA RIBEIRO & CARVALHO LTDA,2062.0,49.0,"500000,00",3.0,2.0,19980504.0,7112000.0,CENTRO,38300066.0,MG,4683.0,SERVIÇOS DE ARQUITETURA E ENGENHARIA; TESTES E ANÁLISES TÉCNICAS,negado,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
10835.000404/00-90,1ª TURMA/CÂMARA SUPERIOR REC. FISCAIS,Câmara Superior de Recursos Fiscais,11/03/2019,24/04/2019,9101-004.051,"Vistos, relatados e discutidos os presentes autos. Acordam os membros do colegiado, por unanimidade de votos, em conhecer do Recurso Especial e, no mérito, em dar-lhe provimento. Votou pelas conclusões, quanto ao conhecimento, a conselheira Lívia De Carli Germano. (assinado digitalmente) Rafael Vidal de Araújo - Presidente em Exercício (assinado digitalmente) Cristiane Silva Costa  Relatora Participaram da sessão de julgamento os conselheiros: André Mendes de Moura, Cristiane Silva Costa, Viviane Vidal Wagner, Demetrius Nichele Macei, Lizandro Rodrigues de Sousa (suplente convocado), Luis Fabiano Alves Penteado, Lívia De Carli Germano e Rafael Vidal de Araújo (Presidente em Exercício).",CRISTIANE SILVA COSTA,56.423.874/0001-06,COMERCIAL FIORAMONTE TECIDOS E CONFECCOES LTDA,2062.0,49.0,"0,00",1.0,2.0,19860923.0,4642701.0,CENTRO,19570000.0,SP,6949.0,"COMÉRCIO POR ATACADO, EXCETO VEÍCULOS AUTOMOTORES E MOTOCICLETAS",provido,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
10480.901057/2009-72,Segunda Turma Ordinária da Terceira Câmara da Primeira Seção,Primeira Seção de Julgamento,21/03/2019,03/04/2019,1302-003.461,"Vistos, relatados e discutidos os presentes autos. Acordam os membros do colegiado, por unanimidade de votos, em negar provimento ao recurso voluntário, nos termos do relatório e voto do relator. A conselheira Maria Lúcia Miceli votou pelas conclusões do relator. (assinado digitalmente) Luiz Tadeu Matosinho Machado - Presidente. (assinado digitalmente) Paulo Henrique Silva Figueiredo - Relator. Participaram da sessão de julgamento os conselheiros: Paulo Henrique Silva Figueiredo, Marcos Antônio Nepomuceno Feitosa, Ricardo Marozzi Gregório, Rogério Aparecido Gil, Gustavo Guimarães da Fonseca, Flávio Machado Vilhena Dias, Maria Lúcia Miceli e Luiz Tadeu Matosinho Machado.",PAULO HENRIQUE SILVA FIGUEIREDO,11.145.893/0001-80,AMPLA SERVICOS DE PROPAGANDA E PUBLICIDADE LTDA,2062.0,49.0,"1400000,00",5.0,2.0,19760130.0,7311400.0,TORRE,50710000.0,PE,2531.0,PUBLICIDADE E PESQUISA DE MERCADO,negado,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
13971.907545/2009-50,Terceira Turma Extraordinária da Primeira Seção,Primeira Seção de Julgamento,16/01/2019,08/02/2019,1003-000.358,"Vistos, relatados e discutidos os presentes autos. Acordam os membros do colegiado, por unanimidade de votos, em dar provimento parcial ao Recurso Voluntário, para que os autos retornem à Delegacia da Receita Federal de origem, para que esta se pronuncie a respeito da existência do direito creditório pleiteado e, caso exista, se o valor é suficiente para homologar os débitos confessados no PER/DCOMP nº 25316.36190.280406.1.3.04-5408. (assinado digitalmente) Carmen Ferreira Saraiva  Presidente (assinado digitalmente) Bárbara Santos Guedes - Relatora Participaram da sessão de julgamento os conselheiros: Sérgio Abelson, Bárbara Santos Guedes, Mauritânia Elvira de Sousa Mendonça e Carmen Ferreira Saraiva (Presidente).",BARBARA SANTOS GUEDES,82.643.537/0001-34,ELECTRO ACO ALTONA S A,2046.0,10.0,"57184079,84",5.0,2.0,19710507.0,2451200.0,ITOUPAVA SECA,89030900.0,SC,8047.0,METALURGIA,parcial,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
10510.901812/2009-14,Segunda Turma Extraordinária da Primeira Seção,Primeira Seção de Julgamento,08/05/2019,29/05/2019,1002-000.670,"Vistos, relatados e discutidos os presentes autos. Acordam os membros do colegiado, por unanimidade de votos, em declarar a nulidade do acórdão recorrido e em dar provimento parcial ao recurso, reconhecendo a possibilidade de análise pela DRJ/SDR da legitimidade da compensação de pagamento indevido ou a maior de estimativas mensais efetuada por meio do PERD/COMP nº 28592.60l75.300606.l.3.04-7760. (assinado digitalmente) Aílton Neves da Silva - Presidente e Relator Participaram da sessão de julgamento os conselheiros: Aílton Neves da Silva (Presidente), Breno do Carmo Moreira Vieira, Rafael Zedral e Marcelo José Luz de Macedo.",AILTON NEVES DA SILVA,13.007.158/0001-35,H DANTAS COMERCIO NAVEGACAO E INDUSTRIAS LTDA,2062.0,5.0,"10000000,00",5.0,2.0,19450222.0,5012201.0,CENTRO,49140000.0,SE,3111.0,TRANSPORTE AQUAVIÁRIO,parcial,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
10480.720461/2010-81,1ª TURMA/CÂMARA SUPERIOR REC. FISCAIS,Câmara Superior de Recursos Fiscais,04/12/2018,15/01/2019,9101-003.912,"Vistos, relatados e discutidos os presentes autos. Acordam os membros do colegiado, por unanimidade de votos, em conhecer do Recurso Especial e, no mérito, quanto aos anos-calendários 2005 e 2006, por unanimidade de votos, em dar provimento ao recurso. Quanto ao ano-calendário 2007, por voto de qualidade, em negar provimento ao recurso, vencidos os conselheiros Cristiane Silva Costa, Demetrius Nichele Macei, Lívia De Carli Germano (suplente convocada), Caio César Nader Quintella (suplente convocado) e Letícia Domingues Cota Braga (suplente convocada), que lhe deram provimento. Designado para redigir o voto vencedor o conselheiro Flávio Franco Corrêa. (assinado digitalmente) Adriana Gomes Rêgo - Presidente. (assinado digitalmente) Demetrius Nichele Macei - Relator. (assinado digitalmente) Flávio Franco Corrêa - Redator Designado. Participaram da sessão de julgamento os conselheiros: André Mendes de Moura, Cristiane Silva Costa, Flávio Franco Corrêa, Demetrius Nichele Macei, Rafael Vidal de Araújo, Lívia de Carli Germano (suplente convocada), Viviane Vidal Wagner, Caio César Nader Quintella (suplente convocado), Letícia Domingues Cota Braga (suplente convocada) e Adriana Gomes Rêgo (Presidente). Ausente, justificadamente, o conselheiro Luis Fabiano Alves Penteado, substituído pela conselheira Letícia Domingues Cota Braga. Ausente o conselheiro Luis Flávio Neto, substituído pela conselheira Lívia De Carli Germano",DEMETRIUS NICHELE MACEI,10.918.175/0001-36,LUMILEDS ILUMINACAO BRASIL LTDA,2062.0,5.0,"92312321,00",5.0,2.0,19671002.0,8211300.0,ALPHAVILLE CENTRO INDUSTRIAL E EMPRESARIAL/ALPHAVI,6454000.0,SP,6213.0,"SERVIÇOS DE ESCRITÓRIO, DE APOIO ADMINISTRATIVO E OUTROS SERVIÇOS PRESTADOS PRINCIPALMENTE ÀS EMPRESAS",negado,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
